Iteration	Cost
1380	9.66532524541
1381	9.66464869788
1382	9.66397252682
1383	9.66329674377
1384	9.66262131253
1385	9.66194627627
1386	9.66127153962
1387	9.66059718884
1388	9.6599231852
1389	9.65924952411
1390	9.65857628998
1391	9.65790343096
1392	9.65723095342
1393	9.65655881063
1394	9.65588705064
1395	9.65521564654
1396	9.65454460649
1397	9.65387391544
1398	9.65320358389
1399	9.65253363984
1400	9.65186402159
1401	9.65119482427
1402	9.65052595053
1403	9.64985748298
1404	9.64918932423
1405	9.64852149834
1406	9.64785406037
1407	9.64718697605
1408	9.64652023718
1409	9.64585379276
1410	9.64518780734
1411	9.64452219661
1412	9.64385690528
1413	9.64319198934
1414	9.6425273481
1415	9.64186303936
1416	9.64119915176
1417	9.64053572187
1418	9.63987256309
1419	9.639209693
1420	9.63854722368
1421	9.63788514287
1422	9.63722343268
1423	9.63656203027
1424	9.63590099339
1425	9.63524034562
1426	9.63457999732
1427	9.63391999576
1428	9.63326033637
1429	9.63260109741
1430	9.63194220458
1431	9.63128361979
1432	9.63062537621
1433	9.6299674771
1434	9.62930997756
1435	9.62865283028
1436	9.62799606201
1437	9.62733962499
1438	9.62668348372
1439	9.62602769275
1440	9.62537230089
1441	9.62471718146
1442	9.62406247628
1443	9.62340814543
1444	9.62275408609
1445	9.6221004398
1446	9.6214471306
1447	9.62079418074
1448	9.62014151325
1449	9.61948920073
1450	9.61883728167
1451	9.61818570855
1452	9.61753447966
1453	9.61688352772
1454	9.61623294164
1455	9.61558268964
1456	9.61493285874
1457	9.6142833311
1458	9.61363412599
1459	9.61298532241
1460	9.61233682622
1461	9.61168873095
1462	9.61104093568
1463	9.61039347005
1464	9.60974631233
1465	9.60909953059
1466	9.60845309601
1467	9.6078070674
1468	9.60716131916
1469	9.60651591083
1470	9.60587084051
1471	9.60522614207
1472	9.60458174242
1473	9.60393770594
1474	9.60329395374
1475	9.60265056377
1476	9.60200752872
1477	9.60136481375
1478	9.60072240446
1479	9.60008030815
1480	9.59943855294
1481	9.59879720829
1482	9.59815619562
1483	9.59751549386
1484	9.59687513038
1485	9.59623507893
1486	9.59559540342
1487	9.59495609005
1488	9.59431708269
1489	9.59367841434
1490	9.59304003664
1491	9.59240205659
1492	9.59176436633
1493	9.59112705588
1494	9.59049004761
1495	9.58985338431
1496	9.5892170219
1497	9.58858101475
1498	9.58794534783
1499	9.58731000299
1500	9.5866750026
1501	9.58604031134
1502	9.58540599973
1503	9.58477200184
